Date,Predicted,Day
2025-04-21,195.06475994483935,Monday
2025-04-22,196.3526255574384,Tuesday
2025-04-23,193.15303912773675,Wednesday
2025-04-24,198.0758265684658,Thursday
2025-04-25,197.2263755201311,Friday
2025-04-28,194.83646950935145,Monday
2025-04-29,193.3474291563998,Tuesday
2025-04-30,197.91584628232977,Wednesday
2025-05-01,196.39814164791596,Thursday
2025-05-02,193.9153757641791,Friday
2025-05-05,194.5343459762662,Monday
2025-05-06,196.29597868118617,Tuesday
2025-05-07,193.7857292487513,Wednesday
2025-05-08,194.5529675982266,Thursday
2025-05-09,194.0059899297221,Friday
2025-05-12,195.70288812481567,Monday
2025-05-13,193.56042280020552,Tuesday
2025-05-14,195.6477100904117,Wednesday
2025-05-15,196.2848093093735,Thursday
2025-05-16,194.14640709456944,Friday
